Resumen TP2 - punto c/d: va vs eta
Criterio estacionario: t >= 500
Parametros: L=10.0, rho=2.0, r0=1.0, v0=0.03, tmax=750, runs/eta=2

scenario, eta, n_runs, va_mean, va_std, va_sem
none, 0.000000, 2, 0.998449, 0.002194, 0.001551
none, 1.000000, 2, 0.922300, 0.021792, 0.015409
none, 2.000000, 2, 0.699049, 0.031076, 0.021974
none, 3.000000, 2, 0.360621, 0.059825, 0.042303
none, 4.000000, 2, 0.122653, 0.013729, 0.009708
none, 5.000000, 2, 0.070730, 0.000676, 0.000478
none, 6.000000, 2, 0.064133, 0.001435, 0.001014
fixed, 0.000000, 2, 0.989526, 0.014688, 0.010386
fixed, 1.000000, 2, 0.904556, 0.002781, 0.001966
fixed, 2.000000, 2, 0.726926, 0.051889, 0.036691
fixed, 3.000000, 2, 0.402488, 0.126445, 0.089410
fixed, 4.000000, 2, 0.144425, 0.011696, 0.008270
fixed, 5.000000, 2, 0.071998, 0.000791, 0.000559
fixed, 6.000000, 2, 0.064287, 0.003545, 0.002507
circular, 0.000000, 2, 0.973122, 0.012601, 0.008910
circular, 1.000000, 2, 0.878453, 0.031872, 0.022537
circular, 2.000000, 2, 0.723140, 0.067988, 0.048075
circular, 3.000000, 2, 0.408894, 0.090793, 0.064200
circular, 4.000000, 2, 0.146293, 0.003449, 0.002439
circular, 5.000000, 2, 0.071380, 0.000931, 0.000658
circular, 6.000000, 2, 0.059829, 0.004252, 0.003007
